id,name,description
100,Havel's Ring,"This ring was named after Havel the Rock, Lord Gwyn's old battlefield compatriot.  Havel's men wore the ring to express faith in their leader and to carry a heavier load."
101,Red Tearstone Ring,The rare gem called tearstone has the uncanny ability to sense imminent death.  This red tearstone from Carim boosts the attack of its wearer when in danger.
102,Darkmoon Blade Covenant Ring,"Ring granted to those bound by the Darkmoon Blade covenant. Answer Dark Sun Gwyndolin's summoning.  Gwyndolin, all too aware of his repulsive, frail appearance, created the illusion of  a sister Gwynevere, who helps him guard over Anor Londo. An unmasking of these deities would be tantamount to blasphemy."
103,Cat Covenant Ring,Ring granted to those bound by the Forest Hunter covenant. Answer Alvina's summoning.  The white cat Alvina speaks a human tongue and has lived since the early Age of Fire. Alvina was a trusted friend of Knight Artorias and the Great Wolf Sif.
104,Cloranthy Ring,"This ancient ring, engraved with a large green flower, is of unknown origin.  Hastens the regeneration of stamina."
105,Flame Stoneplate Ring,"Stoneplates, the symbol of a true knight, grant the strength to face various hardships.  The red stoneplate symbolizes fire, and boosts defence against flame."
106,Thunder Stoneplate Ring,"Stoneplates, the symbol of a true knight, grant the strength to face various hardships.  The yellow stoneplate symbolizes thunder, and boosts defence against lightning."
107,Spell Stoneplate Ring,"Stoneplates, the symbol of a true knight, grant the strength to face various hardships.  The blue stoneplate symbolizes souls, and boosts defence against magic."
108,Speckled Stoneplate Ring,"Stoneplates, the symbol of a true knight, grant the strength to face various hardships.  The precious rare speckled stoneplate grants a small boost to defence against magic, flame, and lightning."
109,Bloodbite Ring,"One of the infamous bite rings commissioned by Sir Arstor of Carim.  Despite the dreadful rumors surrounding its creation, this ring is an unmistakable asset, in its ability to help prevent bleeding."
110,Poisonbite Ring,"One of the infamous bite rings commissioned by Sir Arstor of Carim.  Despite the dreadful rumors surrounding its creation, this ring is an unmistakable asset, in its ability to help prevent poison."
111,Tiny Being's Ring,"Ring made of an ancient tiny red jewel. Grants small increase to HP.  Rings grant powers large and small. Their discovery, and effective use, can make one's journey easier."
113,Cursebite Ring,"One of the infamous bite rings commissioned by Sir Arstor of Carim.  Despite the dreadful rumors surrounding its creation, this ring is an unmistakable asset, in its ability to help prevent curses."
114,White Seance Ring,"A divine ring entrusted to the head bishop of the Way of White and apostle to Allfather Lloyd, uncle to Lord Gwyn. It grants additional attunement slots.  The head bishop of the Way of White is the guardian of law and caste, and one of the great royals of Thorolund."
115,Bellowing Dragoncrest Ring,"A special ring granted to only the most accomplished sorcerers at Vinheim Dragon School.  The ring is engraved with an everlasting dragon, and boosts the strength of sorceries."
116,Dusk Crown Ring,"This magic crown-shaped ring was granted to princess Dusk of Oolacile upon her birth.  The ringstone allows its wearer to cast additional sorceries, but at the cost of one-half of HP."
117,Hornet Ring,"One of the special rings granted to the four knights of Gwyn. The Hornet Ring belonged to the Lord's Blade Ciaran.  By boosting critical attacks, its wearer can annihilate foes, as Ciaran's dagger laid waste to Lord Gwyn's enemies."
119,Hawk Ring,"One of the special rings granted to the four knights of Gwyn. The Hawk Ring belonged to Hawkeye Gough, who led the Greatarchers.  Boosts bow range, so that arrows fly like they were shot by Gough's great bow, which took down high-flying dragons."
120,Ring of Steel Protection,"This ring belonged to the Knight King Rendal. It grants its wearer protection by boosting defense against physical attacks.  Of the many legends surrounding the Knight King Rendal, one of the more well-known speaks of his standing down a giant drake and slashing it to pieces."
121,Covetous Gold Serpent Ring,"The serpent is an imperfect dragon and symbol of the Undead. Its habit of devouring prey even larger than itself has led to an association with gluttony.  This gold ring, engraved with the serpent, boosts its wearer's item discovery, so that more items can be amassed."
122,Covetous Silver Serpent Ring,"The serpent is an imperfect dragon and symbol of the Undead. Its habit of devouring prey even larger than itself has led to an association with gluttony.  This silver ring, engraved with the serpent, rewards its wearer with additional souls for each kill."
123,Slumbering Dragoncrest Ring,"This ring was secretly worn by a certain surreptitious sorcerer at Vinheim Dragon School.  The ring is engraved with an everlasting dragon in silent slumber, and masks all sound emitting from its wearer."
124,Ring of Fog,"Those who befriend Alvina are given this mysterious ring. It resembles a pearl with its robust pure-white fog.  The ring camouflages its wearer's presence, helping to prevent detection."
125,Rusted Iron Ring,"This iron ring was used to shackle the guilty. It is terribly rusted, and faintly stained with blood.  Those who find this strange ring to their liking will be pleased to find it easier to gain footing on poor ground such as swamps."
126,Ring of Sacrifice,"This mystical ring was created in a sacrificial rite of Velka, the Goddess of Sin.  Its wearer will lose nothing upon death, but the ring itself breaks."
127,Rare Ring of Sacrifice,"This mystical ring was created in a sacrificial rite of Velka, the Goddess of Sin. The magenta-shaded ring is especially rare.  Its wearer will lose nothing upon death, and will be freed from any curse whatsoever, but the ring itself breaks."
128,Dark Wood Grain Ring,"This special ring crafted in an Eastern land is made of gold, but with a wood grain crest on its surface.  Agents of subterfuge in this faraway land are particularly fond of the dark gold wood grain, which greatly alters its wearer's rolling action."
130,Ring of the Sun Princess,"This ring is granted to those who enter a Covenant with Gwynevere, daughter of Lord Gwyn and the Princess of Sunlight. This slightly warm ring boosts the synergy of miracles.  The Princess of Sunlight Gwynevere left Anor Londo along with many other deities, and later became wife to Flame God Flann."
133,Ring of Condemnation,"This black diamond ring is granted to those who enter a Covenant with Velka, the Goddess of Sin. It automatically counterattacks when its wearer inflicts sustained damage.  Velka the Goddess of Sin is an eccentric witch versed in various secret rites, an"
